onset_idx,impulsive_idx,peak_idx,decay_end_idx,flare_class,peak_flux
317,346,354,434,B,6.390636680995061e-07
3062,3125,3131,3211,B,5.427431982894113e-07
3933,3966,3971,4075,C,5.840142167413108e-06
4641,4693,4700,4900,X,0.0004251411917157303
5116,5140,5146,5290,M,5.121372117616987e-05
6433,6473,6481,6561,B,4.177603795037512e-07
7068,7115,7124,7204,B,6.974330709743737e-07
7312,7365,7372,7516,M,6.0161656492108466e-05
8824,8868,8876,9020,M,4.992843713006896e-05
9156,9178,9187,9267,B,5.793859396940635e-07
9589,9630,9636,9740,C,4.236932352402794e-06
10587,10611,10619,10699,B,5.493926561246999e-07
11840,11864,11869,11973,C,5.660194892208105e-06
13436,13474,13479,13583,C,4.9677171818314326e-06
